Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,continent,country_code,Continent_AF,Continent_AS,Continent_EU,Continent_NA,Continent_OC,Continent_SA,Country_US,Country_CN
Michael Krasny,1.3,United States,retail,2263,67.0,"Highland Park, Illinois",United States,Married,1.0,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",True,NAm,US,0,0,0,1,0,0,1,0
Igor Kudryashkin,1.3,Russia,metallurgy,2263,59.0,"Moscow, Russia",Russia,Married,1.0,"Ph.D, Moscow Institute of Steel and Alloys",True,EU,RU,0,0,1,0,0,0,0,0
Bernard Lewis & family,1.3,United Kingdom,fashion retailer,2263,95.0,"London, United Kingdom",United Kingdom,,,,True,EU,GB,0,0,1,0,0,0,0,0
Li Tan,1.3,China,pharmaceuticals,2263,56.0,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",True,AS,CN,0,1,0,0,0,0,0,1
Liang Guangwei,1.3,China,conglomerate,2263,57.0,"Shenzhen, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Liang Jiankun & family,1.3,China,cobalt mining,2263,59.0,"Nanjing, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Liu Jilu & family,1.3,China,Logistics,2263,74.0,"Maanshan, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Mangal Prabhat Lodha,1.3,India,real estate,2263,65.0,"Mumbai, India",India,Married,2.0,,True,AS,IN,0,1,0,0,0,0,0,0
Brandt Louie,1.3,Canada,drugstores,2263,77.0,"Vancouver, Canada",Canada,Married,2.0,,False,NAm,CA,0,0,0,1,0,0,0,0
Lu Hongyan,1.3,China,online games,2263,43.0,"Xiamen, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Zhaoxi Lu,1.3,China,e-commerce,2263,52.0,"Hangzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Ma Renhe,1.3,China,"textiles, apparel",2263,61.0,"Ningbo, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Deepak Mehta,1.3,India,chemicals,2263,64.0,"Vadodara, India",India,Married,2.0,"Bachelor of Science, Bombay University",False,AS,IN,0,1,0,0,0,0,0,0
Ulrike Meister,1.3,Germany,appliances,2263,54.0,"Landsberg, Germany",Germany,,,,False,EU,DE,0,0,1,0,0,0,0,0
Lidiya Mikhailova & family,1.3,Russia,agribusiness,2263,63.0,"London, United Kingdom",Russia,Divorced,2.0,,True,EU,RU,0,0,1,0,0,0,0,0
Alan Miller & family,1.3,United States,healthcare services,2263,,,,,,,,NAm,US,0,0,0,1,0,0,1,0
Martin Moller Nielsen,1.3,Denmark,aircraft leasing,2263,56.0,"London, United Kingdom",Denmark,Single,,,True,EU,DK,0,0,1,0,0,0,0,0
Greg Mondre,1.3,United States,private equity,2263,46.0,"New York, New York",United States,Married,,,True,NAm,US,0,0,0,1,0,0,1,0
Yoshiko Mori,1.3,Japan,real estate,2263,80.0,"Tokyo, Japan",Japan,Widowed,2.0,,False,AS,JP,0,1,0,0,0,0,0,0
Bob Muglia,1.3,United States,software,2263,61.0,"Mercer Island, Washington",United States,Married,1.0,"Bachelor of Science, University of Michigan",True,NAm,US,0,0,0,1,0,0,1,0
George Alexander Muthoot,1.3,India,financial services,2263,65.0,"Ernakulam, India",India,Married,2.0,"Chartered Accountant, Institute of Chartered Accountants of India; Bachelor of Commerce, University of Kerala",False,AS,IN,0,1,0,0,0,0,0,0
George Jacob Muthoot,1.3,India,financial services,2263,68.0,"Trivandrum, India",India,Married,2.0,"Bachelor of Science in Engineering, Manipal University",False,AS,IN,0,1,0,0,0,0,0,0
George Thomas Muthoot,1.3,India,financial services,2263,70.0,"Kottayam, India",India,Married,2.0,,False,AS,IN,0,1,0,0,0,0,0,0
Ranjan Pai,1.3,India,education,2263,48.0,"Bangalore, India",India,Married,2.0,,False,AS,IN,0,1,0,0,0,0,0,0
Antonio Percassi,1.3,Italy,"real estate, diversified",2263,67.0,"Bergamo, Italy",Italy,Divorced,6.0,,True,EU,IT,0,0,1,0,0,0,0,0
Stefan Pierer,1.3,Austria,automotive,2263,64.0,"Wels, Austria",Austria,,,"Bachelor of Arts/Science, Montan University",True,EU,AT,0,0,1,0,0,0,0,0
Qiu Minxiu,1.3,China,semiconductors,2263,75.0,"Shangyu, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Lily Safra,1.3,Monaco,banking,2263,83.0,"Geneva, Switzerland",Monaco,Widowed,2.0,,False,EU,MC,0,0,1,0,0,0,0,0
Nobutada Saji,1.3,Japan,beverages,2263,75.0,"Tokyo, Japan",Japan,Married,,"Master of Business Administration, Anderson School of Management",False,AS,JP,0,1,0,0,0,0,0,0
Thomas Sandell,1.3,Sweden,hedge funds,2263,60.0,"London, United Kingdom",Sweden,Married,1.0,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Uppsala University",True,EU,SE,0,0,1,0,0,0,0,0
Penny Sanford,1.3,United States,real estate brokerage,2263,55.0,"Bellingham, Washington",United States,,,,False,NAm,US,0,0,0,1,0,0,1,0
Ilya Scherbovich,1.3,Russia,investments,2263,46.0,"Moscow, Russia",Russia,Married,2.0,"Master of Science, Plekhanov Russian University of Economics",True,EU,RU,0,0,1,0,0,0,0,0
Gerald Schwartz,1.3,Canada,finance,2263,79.0,"Toronto, Canada",Canada,Married,4.0,"Master of Business Administration, Harvard University",True,NAm,CA,0,0,0,1,0,0,0,0
Anatoly Sedykh,1.3,Russia,steel pipes,2263,56.0,"Moscow, Russia",Russia,Married,2.0,"Bachelor of Science in Engineering, Moscow Institute of Steel and Alloys",True,EU,RU,0,0,1,0,0,0,0,0
Radik Shaimiev,1.3,Russia,"refinery, chemicals",2263,56.0,"Kazan, Russia",Russia,Married,2.0,"Bachelor of Arts/Science, Kazan Institute of Civil Engineering",True,EU,RU,0,0,1,0,0,0,0,0
Shao Xiaofeng,1.3,China,e-commerce,2263,55.0,"Hangzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Shi Xu,1.3,Singapore,technology,2263,57.0,"Singapore, Singapore",Singapore,Married,,,True,AS,SG,0,1,0,0,0,0,0,0
Shin Chang-jae,1.3,South Korea,insurance,2263,67.0,"Seoul, South Korea",South Korea,Married,2.0,"Doctorate, Seoul National University",False,AS,KR,0,1,0,0,0,0,0,0
Ron Sim,1.3,Singapore,retail,2263,62.0,"Singapore, Singapore",Singapore,Married,3.0,,True,AS,SG,0,1,0,0,0,0,0,0
Jasminder Singh & family,1.3,United Kingdom,hotels,2263,70.0,"London, United Kingdom",United Kingdom,Married,,,True,EU,GB,0,0,1,0,0,0,0,0
Jared Smith,1.3,United States,cloud computing,2263,46.0,"Provo, Utah",United States,,,"Bachelor of Science, London School of Economics",True,NAm,US,0,0,0,1,0,0,1,0
Terry Snow,1.3,Australia,"airports, real estate",2263,77.0,"Canberra, Australia",Australia,Married,4.0,,True,OC,AU,0,0,0,0,1,0,0,0
Petter Stordalen & family,1.3,Norway,hotels,2263,58.0,"Oslo, Norway",Norway,Married,,,True,EU,NO,0,0,1,0,0,0,0,0
